Time (year),tas (K)
2677.5,288.6399230957031
2678.5,288.640380859375
2679.5,288.6406555175781
2680.5,288.6402282714844
2681.5,288.6399230957031
2682.5,288.64141845703125
2683.5,288.64239501953125
2684.5,288.6416931152344
2685.5,288.6407165527344
2686.5,288.6400146484375
2687.5,288.6399841308594
2688.5,288.638427734375
2689.5,288.6387634277344
2690.5,288.6396179199219
2691.5,288.6400451660156
2692.5,288.6382751464844
2693.5,288.63812255859375
2694.5,288.63934326171875
2695.5,288.6412658691406
2696.5,288.64227294921875
2697.5,288.6457824707031
2698.5,288.6454162597656
2699.5,288.6415710449219
2700.5,288.63897705078125
2701.5,288.63726806640625
2702.5,288.63751220703125
2703.5,288.6378173828125
2704.5,288.63720703125
2705.5,288.6376953125
2706.5,288.636962890625
2707.5,288.63519287109375
2708.5,288.634521484375
2709.5,288.63323974609375
2710.5,288.63494873046875
2711.5,288.6359558105469
2712.5,288.6363830566406
2713.5,288.63592529296875
2714.5,288.6358947753906
2715.5,288.6369934082031
2716.5,288.6370849609375
2717.5,288.642333984375
2718.5,288.643310546875
2719.5,288.6419982910156
2720.5,288.6406555175781
2721.5,288.6416320800781
2722.5,288.64312744140625
2723.5,288.6435852050781
2724.5,288.6401062011719
2725.5,288.63800048828125
2726.5,288.6383056640625
2727.5,288.63995361328125
2728.5,288.6405334472656
2729.5,288.6410217285156
2730.5,288.640869140625
2731.5,288.6407775878906
2732.5,288.6386413574219
2733.5,288.63970947265625
2734.5,288.640380859375
2735.5,288.640869140625
2736.5,288.64129638671875
2737.5,288.6407165527344
2738.5,288.6420593261719
2739.5,288.6419372558594
2740.5,288.6426086425781
2741.5,288.6444091796875
2742.5,288.6441955566406
2743.5,288.64361572265625
2744.5,288.6434020996094
2745.5,288.6443176269531
2746.5,288.6451110839844
2747.5,288.6454772949219
2748.5,288.6478271484375
2749.5,288.6502990722656
2750.5,288.6522521972656
2751.5,288.6521301269531
2752.5,288.6539611816406
2753.5,288.653564453125
2754.5,288.65509033203125
2755.5,288.6538391113281
2756.5,288.6534118652344
2757.5,288.6530456542969
2758.5,288.650634765625
2759.5,288.6483459472656
2760.5,288.64849853515625
2761.5,288.65032958984375
2762.5,288.6531677246094
2763.5,288.65399169921875
2764.5,288.6536865234375
2765.5,288.6551208496094
2766.5,288.6573181152344
2767.5,288.6598815917969
2768.5,288.6640930175781
2769.5,288.66827392578125
2770.5,288.66912841796875
2771.5,288.6690979003906
2772.5,288.6679992675781
2773.5,288.66912841796875
2774.5,288.6710205078125
2775.5,288.6715087890625
2776.5,288.6705322265625
2777.5,288.6695251464844
2778.5,288.669677734375
2779.5,288.66796875
2780.5,288.6647033691406
2781.5,288.6634521484375
2782.5,288.6619873046875
2783.5,288.6598205566406
2784.5,288.6607666015625
2785.5,288.66351318359375
2786.5,288.66485595703125
2787.5,288.66632080078125
2788.5,288.6678466796875
2789.5,288.67108154296875
2790.5,288.6754150390625
2791.5,288.6752624511719
2792.5,288.6723327636719
2793.5,288.6716613769531
2794.5,288.668701171875
2795.5,288.66802978515625
2796.5,288.66326904296875
2797.5,288.66290283203125
2798.5,288.6636962890625
2799.5,288.665771484375
2800.5,288.66497802734375
2801.5,288.6667785644531
2802.5,288.6667785644531
2803.5,288.665771484375
2804.5,288.66632080078125
2805.5,288.6679382324219
2806.5,288.6717529296875
2807.5,288.6706237792969
2808.5,288.66845703125
2809.5,288.6680908203125
2810.5,288.66748046875
2811.5,288.6669616699219
2812.5,288.66552734375
2813.5,288.6659240722656
2814.5,288.66729736328125
2815.5,288.66632080078125
2816.5,288.6654968261719
2817.5,288.6665344238281
2818.5,288.6677551269531
2819.5,288.6662292480469
2820.5,288.66650390625
2821.5,288.66796875
2822.5,288.66925048828125
2823.5,288.6681213378906
2824.5,288.6675720214844
2825.5,288.6693420410156
2826.5,288.6712646484375
2827.5,288.6737365722656
2828.5,288.6736755371094
2829.5,288.6737976074219
2830.5,288.67486572265625
2831.5,288.6722106933594
2832.5,288.6727600097656
2833.5,288.6726379394531
2834.5,288.67138671875
2835.5,288.6698913574219
2836.5,288.6657409667969
2837.5,288.66680908203125
2838.5,288.66754150390625
2839.5,288.6707458496094
2840.5,288.6748962402344
2841.5,288.67779541015625
2842.5,288.6805419921875
2843.5,288.6820983886719
2844.5,288.6800842285156
2845.5,288.6811828613281
2846.5,288.6801452636719
2847.5,288.68145751953125
2848.5,288.67791748046875
2849.5,288.6794738769531
